EXEMPLE DATE DE INTRARE PENTRU NESATISFIABILITATE:

--------------------------------------------------

p cnf 5 50
1 2 3 0
-1 2 3 0
1 -2 3 0
1 2 -3 0
-1 -2 3 0
-1 2 -3 0
1 -2 -3 0
-1 -2 -3 0
1 4 5 0
-1 4 5 0
1 -4 5 0
1 4 -5 0
-1 -4 5 0
-1 4 -5 0
1 -4 -5 0
-1 -4 -5 0
2 3 4 0
-2 3 4 0
2 -3 4 0
2 3 -4 0
-2 -3 4 0
-2 3 -4 0
2 -3 -4 0
-2 -3 -4 0
3 4 5 0
-3 4 5 0
3 -4 5 0
3 4 -5 0
-3 -4 5 0
-3 4 -5 0
3 -4 -5 0
-3 -4 -5 0
1 2 5 0
-1 2 5 0
1 -2 5 0
1 2 -5 0
-1 -2 5 0
-1 2 -5 0
1 -2 -5 0
-1 -2 -5 0
2 4 5 0
-2 4 5 0
2 -4 5 0
2 4 -5 0
-2 -4 5 0
-2 4 -5 0
2 -4 -5 0
-2 -4 -5 0
-1 -2 -3 -4 -5 0
1 2 3 4 5 0

--------------------------------------------------

c Nesatisfiable CNF with 5 variables and 75 clauses, no direct conflicts
p cnf 5 75
1 2 3 0
1 2 -3 0
1 -2 3 0
1 -2 -3 0
-1 2 3 0
-1 2 -3 0
-1 -2 3 0
-1 -2 -3 0
1 3 4 0
-1 3 4 0
1 -3 4 0
1 3 -4 0
2 4 5 0
-2 4 5 0
2 -4 5 0
2 4 -5 0
3 5 1 0
-3 5 1 0
3 -5 1 0
3 5 -1 0
4 1 2 0
-4 1 2 0
4 -1 2 0
4 1 -2 0
5 2 3 0
-5 2 3 0
5 -2 3 0
5 2 -3 0
1 4 5 0
-1 4 5 0
1 -4 5 0
1 4 -5 0
2 3 4 0
-2 3 4 0
2 -3 4 0
2 3 -4 0
3 1 5 0
-3 1 5 0
3 -1 5 0
3 1 -5 0
4 2 1 0
-4 2 1 0
4 -2 1 0
4 2 -1 0
5 3 2 0
-5 3 2 0
5 -3 2 0
5 3 -2 0
1 2 4 0
-1 2 4 0
1 -2 4 0
1 2 -4 0
2 3 5 0
-2 3 5 0
2 -3 5 0
2 3 -5 0
3 4 1 0
-3 4 1 0
3 -4 1 0
3 4 -1 0
4 5 2 0
-4 5 2 0
4 -5 2 0
4 5 -2 0
5 1 3 0
-5 1 3 0
5 -1 3 0
5 1 -3 0
1 2 3 0
2 3 4 0
3 4 5 0
1 -2 -3 0
-1 4 5 0
-2 -4 -5 0
-3 -1 -5 0

--------------------------------------------------

p cnf 10 20
1 2 3 0
4 5 6 0
7 8 9 0
-1 -4 0
-1 -7 0
-4 -7 0
-2 -5 0
-2 -8 0
-5 -8 0
-3 -6 0
-3 -9 0
-6 -9 0
10 -1 0
10 -2 0
10 -3 0
-10 -4 0
-10 -5 0
-10 -6 0
-10 -7 0
-10 -8 0

--------------------------------------------------

c This Formular is generated by mcnf
c
c    horn? no 
c    forced? no 
c    mixed sat? no 
c    clause length = 3 
c
p cnf 50  218 
 18 -8 29 0
-16 3 18 0
-36 -11 -30 0
-50 20 32 0
-6 9 35 0
42 -38 29 0
43 -15 10 0
-48 -47 1 0
-45 -16 33 0
38 42 22 0
-49 41 -34 0
12 17 35 0
22 -49 7 0
-10 -11 -39 0
-28 -36 -37 0
-13 -46 -41 0
21 -4 9 0
12 48 10 0
24 23 15 0
-8 -41 -43 0
-44 -2 -35 0
-27 18 31 0
47 35 6 0
-11 -27 41 0
-33 -47 -45 0
-16 36 -37 0
27 -46 2 0
15 -28 10 0
-38 46 -39 0
-33 -4 24 0
-12 -45 50 0
-32 -21 -15 0
8 42 24 0
30 -49 4 0
45 -9 28 0
-33 -47 -1 0
1 27 -16 0
-11 -17 -35 0
-42 -15 45 0
-19 -27 30 0
3 28 12 0
48 -11 -33 0
-6 37 -9 0
-37 13 -7 0
-2 26 16 0
46 -24 -38 0
-13 -24 -8 0
-36 -42 -21 0
-37 -19 3 0
-31 -50 35 0
-7 -26 29 0
-42 -45 29 0
33 25 -6 0
-45 -5 7 0
-7 28 -6 0
-48 31 -11 0
32 16 -37 0
-24 48 1 0
18 -46 23 0
-30 -50 48 0
-21 39 -2 0
24 47 42 0
-36 30 4 0
-5 28 -1 0
-47 32 -42 0
16 37 -22 0
-43 42 -34 0
-40 39 -20 0
-49 29 6 0
-41 -3 39 0
-16 -12 43 0
24 22 3 0
47 -45 43 0
45 -37 46 0
-9 26 5 0
-3 23 -13 0
5 -34 13 0
12 39 13 0
22 50 37 0
19 9 46 0
-24 8 -27 0
-28 7 21 0
8 -25 50 0
20 50 4 0
27 36 13 0
26 31 -25 0
39 -44 -32 0
-20 41 -10 0
49 -28 35 0
1 44 34 0
39 35 -11 0
-50 -42 -7 0
-24 7 47 0
-13 5 -48 0
-9 -20 -23 0
2 17 -19 0
11 23 21 0
-45 30 15 0
11 26 -24 0
38 33 -13 0
44 -27 -7 0
41 49 2 0
-18 12 -37 0
-2 12 -26 0
-19 7 32 0
-22 11 33 0
8 12 -20 0
16 40 -48 0
-2 -24 -11 0
26 -17 37 0
-14 -19 46 0
5 47 36 0
-29 -9 19 0
32 4 28 0
-34 20 -46 0
-4 -36 -13 0
-15 -37 45 0
-21 29 23 0
-6 -40 7 0
-42 31 -29 0
-36 24 31 0
-45 -37 -1 0
3 -6 -29 0
-28 -50 27 0
44 26 5 0
-17 -48 49 0
12 -40 -7 0
-12 31 -48 0
27 32 -42 0
-27 -10 1 0
6 -49 10 0
-24 8 43 0
23 31 1 0
11 -47 38 0
-28 26 -13 0
-40 12 -42 0
-3 39 46 0
17 41 46 0
23 21 13 0
-14 -1 -38 0
20 18 6 0
-50 20 -9 0
10 -32 -18 0
-21 49 -34 0
44 23 -35 0
40 -19 34 0
-1 6 -12 0
6 -2 -7 0
32 -20 34 0
-12 43 -29 0
24 2 -49 0
10 -4 40 0
11 5 12 0
-3 47 -31 0
43 -23 21 0
-41 -36 -50 0
-8 -42 -24 0
39 45 7 0
7 37 -45 0
41 40 8 0
-50 -10 -8 0
-5 -39 -14 0
-22 -24 -43 0
-36 40 35 0
17 49 41 0
-32 7 24 0
-30 -8 -9 0
-41 -13 -10 0
31 26 -33 0
17 -22 -39 0
-21 28 3 0
-14 46 23 0
29 16 19 0
42 -32 -44 0
-24 10 23 0
-1 -32 -21 0
-8 -44 -39 0
39 11 9 0
19 14 -46 0
46 44 -42 0
37 23 -29 0
32 25 20 0
14 -43 -12 0
-36 -18 46 0
14 -26 -10 0
-2 -30 5 0
6 -18 46 0
-26 2 -44 0
20 -8 -11 0
-31 3 16 0
-22 -9 39 0
-49 44 -42 0
-45 -44 31 0
-31 50 -11 0
-32 -46 2 0
-6 -7 17 0
19 -32 48 0
39 20 -10 0
-22 -37 38 0
-31 9 -48 0
40 12 7 0
-24 -4 9 0
-22 49 33 0
-12 43 10 0
25 -30 -10 0
46 47 31 0
13 27 -7 0
-45 32 -35 0
-50 34 9 0
2 34 30 0
3 16 2 0
-18 45 -12 0
33 37 10 0
43 7 -18 0
-22 44 -19 0
-31 -27 -42 0
-3 -40 8 0
-23 -31 38 0
%
0

--------------------------------------------------

c This Formular is generated by mcnf
c
c    horn? no 
c    forced? no 
c    mixed sat? no 
c    clause length = 3 
c
p cnf 75  325 
 69 -63 -22 0
58 -41 54 0
59 38 -6 0
13 -22 34 0
-62 32 55 0
-32 6 -2 0
27 68 -6 0
26 13 -36 0
-26 -46 11 0
-74 52 -36 0
-67 -62 -53 0
-33 -66 56 0
-37 -21 -23 0
-61 -3 28 0
75 -60 69 0
-8 30 -10 0
48 57 39 0
-38 -57 55 0
-43 39 34 0
13 -36 -5 0
-30 -3 72 0
-12 -35 1 0
-10 25 -2 0
-21 -52 -19 0
73 -60 14 0
-44 -20 -11 0
-61 -70 33 0
7 -56 -44 0
63 -66 31 0
-60 -42 -61 0
7 -13 -71 0
-16 39 49 0
67 -31 -75 0
-13 26 36 0
45 16 46 0
8 20 28 0
57 52 -45 0
-50 -16 -25 0
-20 63 -15 0
59 1 -61 0
-45 -39 -19 0
-3 -23 -32 0
-42 28 -71 0
-55 22 -33 0
41 59 64 0
-25 58 44 0
58 46 55 0
-71 -52 -30 0
43 75 32 0
2 -60 8 0
53 55 9 0
44 -17 3 0
58 42 -3 0
-11 71 -56 0
-61 -34 40 0
20 -40 -17 0
-60 -29 67 0
12 -34 4 0
-70 56 -28 0
-30 9 20 0
-32 -21 45 0
24 33 59 0
-53 -31 -70 0
-13 39 -21 0
-26 -44 -52 0
51 -69 -74 0
51 66 5 0
-70 -59 54 0
-29 52 -62 0
18 43 -70 0
63 -75 47 0
59 -32 -23 0
-12 -21 -24 0
29 -37 33 0
20 22 75 0
61 23 -5 0
-51 14 -4 0
-44 -42 -62 0
-39 -70 -9 0
29 17 -10 0
-34 -16 66 0
10 24 -35 0
-55 -66 -33 0
13 23 -69 0
9 47 8 0
-61 -34 53 0
73 8 -49 0
-24 -75 -62 0
55 67 -49 0
9 -58 47 0
-13 16 62 0
62 -21 -61 0
43 41 24 0
-62 5 52 0
71 -72 -63 0
35 71 -58 0
11 -29 55 0
73 -36 3 0
25 29 19 0
18 12 30 0
-2 68 5 0
53 -27 42 0
-68 55 -72 0
10 26 68 0
62 -44 -19 0
26 50 -45 0
42 -12 -13 0
-44 36 -49 0
-4 -41 75 0
4 -55 -70 0
-75 -22 -18 0
-30 18 62 0
36 70 66 0
-58 38 -62 0
8 -37 36 0
-46 58 53 0
39 56 -46 0
-56 -59 66 0
-68 51 62 0
-36 -41 -56 0
27 13 -22 0
33 -39 -29 0
-75 45 35 0
15 -10 3 0
21 24 -75 0
-40 -46 -55 0
-35 7 19 0
-40 -10 -53 0
27 15 -4 0
-64 36 16 0
31 -2 -6 0
66 22 -62 0
-18 -49 7 0
-65 75 20 0
61 18 71 0
-36 -37 34 0
21 -39 -43 0
4 -66 -26 0
16 -52 74 0
-71 30 -46 0
-23 67 -14 0
-2 -53 -25 0
-20 -63 -64 0
-45 -13 -27 0
-72 44 -26 0
19 -58 48 0
-18 40 -57 0
40 -28 29 0
3 43 40 0
-25 -8 56 0
31 68 73 0
-7 42 75 0
-29 -48 35 0
-9 3 75 0
-61 56 -18 0
-57 -61 59 0
14 -70 -48 0
-20 -12 29 0
11 -3 -31 0
-21 36 -42 0
29 59 -57 0
-19 -51 39 0
-47 -9 33 0
-28 73 30 0
44 -29 -42 0
-6 20 -27 0
-32 -50 39 0
-17 13 36 0
1 40 21 0
36 66 -58 0
-45 -7 69 0
60 25 -74 0
51 37 -52 0
-35 -12 -28 0
-10 3 -40 0
41 -50 -47 0
-58 -30 64 0
-22 -29 -46 0
61 -75 68 0
63 -65 -38 0
-68 -22 -16 0
-3 39 -16 0
-1 -42 -23 0
28 24 -62 0
56 -25 31 0
61 44 34 0
63 11 -53 0
72 -4 39 0
-6 3 -26 0
-34 5 -12 0
2 8 -32 0
49 -71 -50 0
-23 70 56 0
63 20 -34 0
1 46 61 0
1 -37 16 0
-72 -45 20 0
24 19 13 0
-35 68 -46 0
50 7 -29 0
-44 -20 25 0
8 50 -66 0
-45 -46 6 0
-8 10 2 0
-36 53 14 0
-53 56 3 0
-46 5 15 0
42 -72 6 0
31 -57 18 0
45 -36 -38 0
12 -29 49 0
-37 38 9 0
-53 1 32 0
74 -55 -60 0
40 -33 -4 0
-74 4 -5 0
-51 55 -34 0
-20 -8 70 0
-55 64 -73 0
7 -45 19 0
-63 45 14 0
65 -68 -11 0
17 -71 -49 0
29 27 -65 0
-2 -30 -8 0
19 54 -63 0
28 -21 75 0
-75 -36 -28 0
-73 -28 8 0
-59 62 49 0
-62 54 67 0
26 -41 21 0
-43 -70 14 0
-70 59 -74 0
42 -51 49 0
-55 8 68 0
2 59 -1 0
51 -21 -58 0
-12 -56 -67 0
32 35 -22 0
12 -3 64 0
36 -60 6 0
-5 -43 -53 0
-56 -71 30 0
-21 -19 -48 0
24 -63 -74 0
-35 -27 41 0
-72 -68 -1 0
-23 35 -56 0
-66 -28 61 0
35 19 24 0
-15 66 42 0
14 28 23 0
-74 25 -38 0
23 68 -72 0
-44 66 -11 0
-7 39 -33 0
3 -33 16 0
-27 45 -43 0
34 -47 -38 0
22 23 60 0
73 -22 -47 0
18 72 -23 0
52 48 -38 0
64 70 34 0
21 46 -36 0
-14 75 -72 0
-51 47 63 0
67 58 56 0
-17 66 12 0
63 -38 6 0
-74 -57 7 0
-61 17 8 0
56 7 -70 0
-54 52 62 0
26 14 40 0
-39 34 64 0
7 -15 -47 0
27 44 68 0
18 -59 5 0
-6 74 43 0
-53 -69 -38 0
-71 -45 -7 0
29 11 -39 0
-49 28 54 0
58 74 -52 0
-7 -21 18 0
43 30 16 0
-39 -24 50 0
34 29 -46 0
-20 64 -44 0
-51 -24 17 0
2 -39 -32 0
28 -12 -68 0
-20 -29 1 0
36 -59 69 0
75 30 35 0
-18 -24 -69 0
19 -69 -54 0
-58 16 -3 0
-64 -41 26 0
69 -44 -34 0
-58 -4 52 0
71 38 -73 0
-64 -50 48 0
36 -21 -40 0
-12 34 -3 0
-23 -22 62 0
18 70 69 0
61 65 -1 0
48 72 -1 0
-57 -26 -24 0
43 12 -64 0
-60 -28 -57 0
5 -28 46 0
-61 -33 3 0
52 27 43 0
43 -53 31 0
-65 -6 -74 0
-47 -1 27 0
38 -20 -36 0
75 16 -20 0
-43 3 -19 0
16 -74 -3 0
71 -13 -52 0
%
0

--------------------------------------------------

c This Formular is generated by mcnf
c
c    horn? no 
c    forced? no 
c    mixed sat? no 
c    clause length = 3 
c
p cnf 100  430 
 -46 90 77 0
-100 -61 -2 0
5 -95 79 0
-34 -56 -23 0
80 66 70 0
-82 54 -34 0
-77 28 33 0
36 -17 -7 0
-40 -90 -25 0
55 -59 -46 0
68 56 8 0
74 -91 -62 0
18 5 91 0
94 58 37 0
-98 74 -43 0
66 4 67 0
-9 -100 -46 0
-82 64 -89 0
-57 -48 -100 0
51 -37 40 0
-14 89 -40 0
-20 -15 77 0
30 -74 14 0
-100 30 71 0
97 57 -70 0
73 -18 43 0
-89 -18 -65 0
15 13 30 0
52 31 -22 0
-26 -93 -25 0
35 14 -22 0
35 -29 100 0
-24 21 -42 0
85 -53 -15 0
40 -81 -93 0
-37 92 -93 0
18 31 -98 0
-32 66 9 0
-66 4 -83 0
49 -57 52 0
13 -95 21 0
-68 95 -55 0
-54 44 -62 0
-93 -82 85 0
-46 -10 58 0
27 -64 -12 0
71 37 -85 0
-21 56 -40 0
63 -10 -37 0
48 30 -8 0
23 -55 34 0
-72 28 7 0
-17 84 -42 0
61 -11 34 0
-55 -26 -38 0
83 7 19 0
39 -80 -38 0
-49 -92 -50 0
88 -50 -62 0
-51 -12 83 0
85 -54 42 0
-14 -9 29 0
-17 -3 -96 0
-18 81 -36 0
37 53 -3 0
-54 26 -28 0
-44 -43 -6 0
-76 -11 -63 0
-57 -95 38 0
-84 11 91 0
-61 -83 -58 0
-86 -20 29 0
51 68 33 0
71 -96 -4 0
47 -71 89 0
70 18 -100 0
13 -92 -96 0
-64 33 -55 0
5 18 -89 0
-87 72 47 0
-93 78 22 0
-68 -17 19 0
51 22 -34 0
98 22 -87 0
-18 95 9 0
-85 -82 -34 0
44 -2 -81 0
-58 -81 -16 0
60 20 94 0
8 -67 11 0
-28 43 -95 0
24 -63 82 0
86 -27 22 0
-98 -49 -38 0
8 2 54 0
33 45 -55 0
-8 30 36 0
31 20 -52 0
19 -68 -7 0
18 -64 -48 0
-69 26 -14 0
-4 -62 23 0
-23 16 -58 0
-44 55 51 0
81 69 91 0
-85 75 -64 0
-85 -68 -73 0
-1 80 57 0
-18 70 -77 0
12 15 -51 0
53 -16 -74 0
67 -81 48 0
-39 58 91 0
28 50 76 0
86 30 -24 0
36 -84 -70 0
90 67 46 0
49 45 -62 0
46 -68 -44 0
-31 -58 90 0
-9 30 5 0
-43 -28 -72 0
-92 -14 -22 0
-47 99 -29 0
51 57 -40 0
-13 79 -67 0
33 46 42 0
-12 -25 40 0
12 -76 29 0
-51 46 85 0
52 -63 14 0
89 85 -77 0
-49 -17 -12 0
90 -93 -64 0
47 44 -5 0
-66 86 -17 0
-10 92 -53 0
-73 -70 -74 0
73 -48 47 0
-96 13 83 0
-54 -9 2 0
-39 -97 96 0
48 55 87 0
76 12 -93 0
61 44 71 0
-60 -97 23 0
-65 -6 -60 0
-44 -42 63 0
-40 92 -99 0
-23 84 28 0
-25 -24 -64 0
50 -96 -79 0
86 36 -8 0
-55 41 80 0
10 -25 2 0
79 -15 52 0
-16 -49 37 0
-60 -44 -65 0
55 -46 6 0
-53 8 33 0
83 -25 37 0
76 -83 84 0
41 38 -85 0
-71 -59 20 0
85 46 -26 0
-39 84 -96 0
-11 93 46 0
36 -46 -60 0
95 -22 23 0
-33 -83 -60 0
30 39 -44 0
87 25 -53 0
-54 -3 -14 0
-67 -75 99 0
-13 -56 73 0
100 94 77 0
11 32 89 0
97 -3 49 0
-87 42 77 0
-98 35 -5 0
-4 6 -53 0
16 -41 92 0
-51 -80 44 0
-1 -76 -60 0
27 58 17 0
90 32 -28 0
-3 27 -98 0
-35 -83 60 0
-96 -83 -25 0
-37 86 -41 0
76 7 100 0
-60 52 -38 0
-37 -81 51 0
-46 54 -15 0
-54 -46 -61 0
-63 -75 83 0
74 -37 83 0
79 30 -8 0
-62 72 20 0
51 -95 -75 0
-88 52 49 0
-2 -88 -62 0
12 77 85 0
86 68 83 0
35 95 19 0
84 -94 -59 0
57 66 -60 0
-73 -61 34 0
68 -66 -8 0
-74 5 -47 0
-99 98 47 0
-30 86 76 0
-47 77 -86 0
21 -1 32 0
79 25 8 0
77 -14 19 0
34 -100 33 0
35 13 -20 0
-36 -47 18 0
-42 21 27 0
-43 51 66 0
99 21 -45 0
-42 -44 92 0
-48 -95 -84 0
85 -99 1 0
59 -8 88 0
-36 -72 29 0
-60 -22 82 0
-90 -31 -36 0
-53 -80 -93 0
-91 -49 64 0
-87 -9 -16 0
49 -10 -35 0
-90 24 12 0
-15 -99 -98 0
59 38 -18 0
23 19 -64 0
92 -55 -61 0
3 45 -77 0
20 -21 -95 0
-71 -47 22 0
44 7 -50 0
58 -37 -11 0
72 -66 10 0
44 99 37 0
21 -86 -72 0
73 17 61 0
-78 -81 42 0
54 70 -64 0
-61 -48 17 0
-19 48 -13 0
-33 -39 29 0
33 43 -76 0
76 11 -49 0
19 -88 45 0
-76 -5 -55 0
-57 -98 -15 0
19 -86 -94 0
82 -70 22 0
-39 -85 -63 0
50 75 25 0
-96 -37 -15 0
-99 -75 -10 0
-67 -63 38 0
-7 -22 -18 0
-39 -45 62 0
-64 -79 37 0
-69 -58 -100 0
-46 17 43 0
17 -11 46 0
-22 -19 -86 0
84 45 48 0
46 -91 64 0
-25 -15 30 0
92 14 45 0
-79 -69 43 0
-34 -35 -69 0
87 1 -82 0
-64 70 -65 0
-27 -29 75 0
95 45 90 0
62 43 76 0
21 -11 -31 0
53 24 -46 0
-78 43 -12 0
-74 9 22 0
-5 7 -73 0
12 -57 -7 0
-19 12 90 0
-47 -6 -50 0
-35 -32 72 0
-87 -100 -24 0
-56 92 -16 0
29 53 87 0
-25 64 -20 0
37 57 9 0
25 -100 -4 0
7 -16 77 0
-98 7 -64 0
98 50 -44 0
95 -60 23 0
7 92 -35 0
-95 -47 -9 0
82 -67 93 0
-25 -49 -66 0
-34 -60 49 0
91 -70 8 0
20 75 -94 0
15 -27 -30 0
-24 -95 -29 0
